Player,Predicted ,Actual,Accuracy(%)
Allen Lazard,113.53,59.7,52.58521977
George Pickens,107.38,208.8,51.42720307
Jakobi Meyers,113.03,218.58,51.71104401
Curtis Samuel,110.5,157.2,70.29262087
Adam Thielen,109.935,231,47.59090909
Tyler Boyd,108.86,144.8,75.17955801
Drake London,111.535,174.38,63.96089001
JuJu Smith-Schuster,110.305,60.3,54.66660623
Jahan Dotson,89.845,124.8,71.9911859
K.J. Osborn,95.105,120,79.25416667
Diontae Johnson,102.32,152.7,67.00720367
Courtland Sutton,94.49,190.2,49.67928496
Marquise Brown,90.765,134.7,67.3830735
Brandin Cooks,89.305,173.2,51.56177829
DeAndre Hopkins,88.655,223.6,39.64892665
Darius Slayton,81.695,151,54.10264901
Marquez Valdes-Scantling,78.525,53,67.49442853
Rashid Shaheed,63.345,149.6,42.34291444
Noah Brown,70.88,101.6,69.76377953
DeVante Parker,70.14,69.6,99.23011121
Alec Pierce,70.36,94,74.85106383
Olamide Zaccheaus,69.83,35.9,51.41056852
Kalif Raymond,69.42,97.1,71.49330587
DJ Chark,66.08,115.5,57.21212121
Chris Moore,68.55,64.7,94.38366156
Michael Gallup,65.12,87.4,74.50800915
Josh Reynolds,65.985,128.8,51.23059006
Isaiah Hodgins,63.62,58.8,92.42376611
Robert Woods,65.63,89,73.74157303
Darnell Mooney,63.235,76.5,82.66013072
Greg Dortch,64.21,62,96.55816851
Romeo Doubs,63.53,174.4,36.42775229
Nick Westbrook-Ikhine,56.085,80.3,69.84433375
Demarcus Robinson,62.205,84.8,73.35495283
Van Jefferson,51.72,39.2,75.79273009
Kendrick Bourne,52.88,97.4,54.29158111
Quez Watkins,51.115,34,66.51667808
Elijah Moore,51.175,132.1,38.73959122
Trenton Irwin,42.18,61,69.14754098
Jauan Jennings,49.22,50.2,98.04780876
Rondale Moore,49.265,105,46.91904762
Julio Jones,44.56,35.2,78.994614
Tutu Atwell,43.625,112.4,38.81227758
Ben Skowronek,46.98,20.3,43.20987654
Nelson Agholor,46.24,95.7,48.31765935
Ray-Ray McCloud,41.505,27.1,65.29333815
Tyquan Thornton,42.95,25.6,59.60419092
Justin Watson,42.8,87.8,48.74715262
Hunter Renfrow,44.56,45.2,98.5840708
Braxton Berrios,39.94,56.5,70.69026549
Rashod Bateman,36.545,72.4,50.47651934
Byron Pringle,24.76,25.7,96.34241245
Jalen Nailor,22.905,8.8,38.41955905
Brandon Powell,24.285,64.5,37.65116279
River Cracraft,21.595,24.9,86.72690763
David Bell,21.57,45.9,46.99346405
Skyy Moore,22.075,52.7,41.88804554
Zach Pascal,23.455,8.2,34.96056278
Sterling Shepard,22.37,16.9,75.5476084
Jalen Reagor,18.125,21.5,84.30232558
Samori Toure,12.295,16.2,75.89506173
Taysom Hill,73.26,77.3,94.77360931
Evan Engram,95.785,230.3,41.59140252
Cole Kmet,94.305,181.1,52.07344009
Juwan Johnson,87.92,90.5,97.14917127
Dallas Goedert,86.545,136.3,63.49596478
Dalton Schultz,85.02,150.5,56.49169435
Pat Freiermuth,87.935,113.2,77.68109541
Gerald Everett,83.47,102.4,81.51367188
Jordan Akins,75.075,68.7,91.50849151
Tyler Higbee,88.075,93.8,93.89658849
Tyler Conklin,80.185,85,94.33529412
Noah Fant,76.86,87.6,87.73972603
Zach Ertz,69.18,88.3,78.34654587
Chigoziem Okonkwo,62.835,96.4,65.18153527
Hunter Henry,65.17,132.3,49.25925926
Robert Tonyan,62.475,70.8,88.24152542
Darren Waller,52.71,104.6,50.39196941
Austin Hooper,57.895,69.6,83.18247126
Isaiah Likely,54.24,79.4,68.31234257
Foster Moreau,52.38,56.2,93.20284698
Cade Otton,52.505,89.7,58.53400223
Jelani Woods,47.565,63.1,75.38034865
Brock Wright,41.815,55.7,75.07181329
MyCole Pruitt,36.965,43.1,85.76566125
Logan Thomas,47.415,109.3,43.38060384
Mo Alie-Cox,34.035,53.3,63.85553471
C.J. Uzomah,34.035,67.5,50.42222222
Tommy Tremble,32.095,45.2,71.00663717
Harrison Bryant,32.255,74.1,43.52901484
Kylen Granson,31.965,78.3,40.82375479
Shane Zylstra,29.02,34.2,84.85380117
Jake Ferguson,28.66,32.4,88.45679012
Peyton Hendershot,27.465,48.4,56.74586777
Teagan Quitoriano,21.61,44.3,48.78103837
Marcedes Lewis,18.015,30.5,59.06557377
Eric Saubert,21.59,38.1,56.66666667
Johnny Mundt,25.025,15,59.94005994
Ian Thomas,22.155,31.8,69.66981132
Eric Tomlinson,20.17,28.5,70.77192982
Geoff Swaim,12.14,8.8,72.48764415
